Id,Label
deepseek,deepseek
预测,预测
春节,春节
票房,票房
冠军,冠军
哪吒,哪吒
快报,快报
记者,记者
电影票房,电影票房
情况,情况
提问,提问
显示,显示
搜索,搜索
网页,网页
深度,深度
思考,思考
给出,给出
回答,回答
有望,有望
历史,历史
新高,新高
预计,预计
突破,突破
亿元,亿元
魔童,魔童
闹海,闹海
唐人街,唐人街
探案,探案
封神,封神
第二部,第二部
战火,战火
西岐,西岐
微博,微博
视频,视频
广东,广东
爆火,爆火
网友,网友
热议,热议
ai,ai
三杰,三杰
梁文锋,梁文锋
杨植麟,杨植麟
何恺明,何恺明
学霸,学霸
人工智能,人工智能
模型,模型
登上,登上
创始人,创始人
熟知,熟知
湛江,湛江
中国,中国
两位,两位
大佬,大佬
kimi,kimi
汕头,汕头
领域,领域
杰出,杰出
科学家,科学家
广州,广州
公开,公开
资料,资料
成绩,成绩
优异,优异
小学,小学
六年级,六年级
考试,考试
吴川,吴川
一中,一中
录用,录用
初中,初中
高中,高中
学业,学业
学校,学校
尖子生,尖子生
数学,数学
学科,学科
表现,表现
天赋,天赋
时期,时期
就学,就学
高中数学,高中数学
大学,大学
创立,创立
深度求索,深度求索
品牌,品牌
全称,全称
杭州,杭州
基础,基础
技术,技术
研究,研究
有限公司,有限公司
开源,开源
全球,全球
第一,第一
性价比,性价比
超越,超越
估值,估值
亿美元,亿美元
独角兽,独角兽
openai,openai
海外,海外
发布,发布
gpt,gpt
结论,结论
两款,两款
产品,产品
不相上下,不相上下
汕头人,汕头人
就读于,就读于
金山,金山
中学,中学
编程,编程
选拔,选拔
信息学,信息学
奥林匹克,奥林匹克
竞赛,竞赛
培训班,培训班
全国,全国
青少年,青少年
联赛,联赛
夺得,夺得
赛区,赛区
一等奖,一等奖
清华大学,清华大学
保送生,保送生
资格,资格
保送,保送
当年,当年
高考,高考
拿下,拿下
高分,高分
录取线,录取线
北京,北京
暗面,暗面
科技,科技
moonshot,moonshot
文本,文本
推出,推出
首个,首个
支持,支持
输入,输入
汉字,汉字
智能,智能
助手,助手
chat,chat
一经,一经
各方,各方
关注,关注
国内,国内
大模型,大模型
公司,公司
新一轮,新一轮
亿美金,亿美金
融资,融资
人民币,人民币
意味着,意味着
创业,创业
梯队,梯队
智谱,智谱
minimax,minimax
百川,百川
