词语,TF-IDF总和
厉害,45.18384626885736
成功,43.02793075641976
重要,30.12564135948808
简单,28.003131736591843
疯狂,26.337676463383076
不错,25.314085086070126
最好,21.64198350625641
强大,20.697528576039065
容易,19.158110095253825
巨大,18.594834811540196
火爆,18.575893146198535
不同,18.35383629240892
便宜,17.952220004367366
先进,17.859587430638907
明显,17.33044123410913
高效,16.594254588913664
根本,14.906621792559063
准确,14.800320954386837
具体,13.956720973982549
坚定,13.337546820581146
优秀,12.000342251069414
聪明,11.632538679275878
有趣,11.206096920456725
显著,11.188622031925593
有效,10.660258978413427
神秘,10.543289502824278
自由,10.328634649030088
很好,9.49296520742291
清晰,9.2428535322686
健康,8.991098575205605
清楚,8.48244588422553
好奇,8.41885359561928
漂亮,8.160764335690226
乐观,7.728820065883062
热爱,7.064000572563259
最高,6.973350656479179
重大,6.652551503360954
纯粹,6.4145267515529465
快乐,6.128466544927255
敏感,5.744567640712037
方便,5.705475397921923
便利,5.472268990786231
丰富,5.371854127384843
完整,5.322840558138628
严肃,5.318013374869669
平衡,5.100681896718388
稳定,4.967545690473695
惊喜,4.884418279328376
伟大,4.768702086574244
简洁,4.605756365606485
独特,4.481702627657227
不愧,4.4548530844976675
冷静,4.440505092313204
低廉,4.437015871402026
合适,4.316266980924761
充满,4.31300541802505
繁荣,4.307486589963657
完美,3.8704731509085235
耐心,3.7960776145422557
温柔,3.7307956754076868
精通,3.57294000459898
轻松,3.4836340906890833
热闹,3.449317040437524
严谨,3.1590199925735956
很棒,3.1487631724612335
惊奇,2.9869447877928237
优异,2.9860759856453054
激昂,2.9469610242686506
激活,2.915644276686477
美好,2.613633178899091
灵感,2.607444314083866
强劲,2.596713349241042
严密,2.595919928650438
真诚,2.583910747337834
固定,2.562415969485592
细致,2.506340057892703
恭喜,2.460990683856242
勤奋,2.4425519212579516
鲜明,2.4357725276422135
珍贵,2.310695773297508
浪漫,2.26029046071124
幸运,2.2257630439867406
轻易,2.209790496218184
有利,2.175962564897626
勇敢,2.101992948735227
流畅,2.0857328455072937
正好,2.056714667490639
成熟,2.0502733207600303
辉煌,2.0458137902399325
单纯,2.0274111596946285
富贵,2.0
平安,2.0
友好,1.9876124920992038
清醒,1.9635312314103972
深远,1.857955203141958
灵活,1.8203894701774233
微妙,1.8113444945501205
浩然,1.7847131318721368
适度,1.7331952847199106
详尽,1.7310083689103508
雄厚,1.638802072228412
罕见,1.5787427209808793
精确,1.5650411338898902
旺盛,1.5504523819491403
新颖,1.5405648184108287
坚挺,1.5251559972614774
温和,1.494457142945913
精密,1.4606446486483733
浓厚,1.4456581141882343
良好,1.41646771188977
团结,1.3687920986031543
著名,1.3631022291298636
精细,1.3364626031221316
幸福,1.3347695165016844
优雅,1.2452027026276733
平等,1.2354169071569117
谨慎,1.1919267077626583
尊重,1.0423428782258715
精妙,1.03217614541226
优美,1.0199677074082714
深厚,1.006180650026599
奇异,1.0
谦虚,1.0
纯净,1.0
凉快,1.0
睿智,1.0
简要,1.0
勤快,1.0
窈窕,1.0
特效,1.0
强悍,1.0
狂热,1.0
和谐,1.0
舒适,1.0
畅通,1.0
真挚,1.0
彪悍,1.0
谦逊,1.0
有名,1.0
不朽,1.0
尖锐,1.0
丰实,1.0
扎眼,1.0
极乐,1.0
柔情,1.0
逍遥,1.0
巧妙,0.9998248782708541
适当,0.9994580479000792
高大,0.9745786973910247
博大,0.9652119880917656
偏要,0.9531164010022528
广阔,0.9055407938925436
欢快,0.8800420743822452
浩渺,0.8547652520277426
美妙,0.8389161417909471
奇妙,0.8360355831699153
特大,0.7851924933737778
锋利,0.7701843747511287
隽永,0.763935570098287
愉悦,0.7567598668718285
简易,0.7384341996089686
清白,0.7250955615361929
壮大,0.7135803367083322
妩媚,0.7071067811865476
善良,0.7071067811865476
诚意,0.7071067811865476
细腻,0.7069741625305908
精美,0.680034989240687
成效,0.6738384731325593
充盈,0.6695464281655005
明亮,0.6660960607100803
幽默,0.6580973133940385
完好,0.6554688759104279
厚重,0.6449642982170637
淳朴,0.6100760920937992
杰出,0.6095041992020884
娴熟,0.6070637784046162
威名,0.6070637784046162
平和,0.5945128922994347
惨烈,0.5924657608566194
松动,0.5819520599366061
乐见,0.5819520599366061
快捷,0.5552149366013716
宏大,0.5064185425487268
平滑,0.5043272543425856
甜蜜,0.502934026979293
不俗,0.4570031741188588
不吝,0.4413464025547104
便捷,0.4294286625767746
自明,0.42791690550512546
平实,0.41510444008136704
寂静,0.38905271550752396
稳健,0.37779713575626894
平缓,0.34251657698878507
平静,0.33402680119636274
犀利,0.3307755046804039
慷慨,0.32349757757741343
缜密,0.32349757757741343
较真,0.31130807460202137
精锐,0.31130807460202137
充裕,0.29586947676428055
悲壮,0.29344822963174894
简明,0.2898062974387479
澄澈,0.28604677898447833
浩瀚,0.2849217506759142
精进,0.2833895048652477
耀眼,0.2753399116654588
充足,0.2597844772802962
稳固,0.2539644781449865
欢愉,0.2514670134896465
深邃,0.24692319016135486
清冽,0.24692319016135486
悦耳,0.24692319016135486
稀少,0.24692319016135486
诚实,0.242919346629782
沉思,0.2268463029654943
厚实,0.20495263406464012
欣喜,0.18600255961415604
丰饶,0.14726790191235495
自足,0.14726790191235495
自满,0.14726790191235495
固守,0.14726790191235495
